Name Northing Easting Elevation Direction
t1_2015 8687108.269 528390.980 349.794 90
t2_2015 8687323.529 527951.731 401.461 191
t3_2015 8687274.365 527592.076 428.461 nan
t7_2015 8686580.631 525857.600 618.776 nan
t8_2015 8686471.045 525523.422 652.786 nan
ta1_2010b 8686371.497 526065.669 597.2 270
tb1_2012 8686805.347 526757.367 540.2 nan
tc1_2012 8686909.452 525988.886 589.9 220
bl3_2015 8686089.351 523544.462 494.157 nan
bl5_2011 8686130.299 524647.170 630.4 nan
