Name Northing Easting Elevation Direction
T1-2009 8687147.633 528406.6025 329.7128 nan
T2-2009 8687348.014 527971.3386 374.3932 nan
T3-2009 8687301.904 527617.2492 399.6119 nan
T4-2009 8687162.020 527146.5703 462.0421 nan
T5-2009 8686967.270 526713.5816 509.9778 nan
T6-2009 8686842.773 526358.4527 533.7226 nan
T7-2009 8686602.264 525879.6801 586.5532 nan
T8-2009 8686493.414 525546.2144 620.8994 nan
