Name Northing Easting Elevation sN sE sH
T1-i-2017 8687105.429355057 528388.71527648938 344.33295588432821 0.054155736327153314 0.057803404019959044 0.18214250658238204
T1-ii-2017 8687105.3431405928 528388.66876113415 344.28891565915825 0.073638667206101391 0.060458318799851522 0.13874842141089785
T2-i-2017 8687321.476295691 527951.12200222944 398.38721705570146 0.072807502709355196 0.0932945570954022 0.28095955627506131
T2-ii-2017 8687321.5386445578 527951.14654970996 397.67151223788187 0.055138733510943172 0.076310901629031966 0.11140660874305421
BL4-i-2016 8686098.8257478662 524179.13169277052 574.5206762094075 0.17993621554083269 0.21460329749503163 0.18718585229476672
BL4-ii-2016 8686098.6144335661 524179.5905141891 573.93753812849639 0.14049529072085501 0.036647899155965294 0.4757887526988801
BL5-i-2017 8686130.8171409555 524644.2302517686 631.05526317976603 0.096968575686229422 0.055342047772814235 0.25730012491008336
BL5-ii-2017 8686130.7489736155 524644.28843758814 630.42179240971222 0.061617547825409354 0.046964450148780826 0.11111512043416226
