Name Northing Easting Elevation
T1-2017 8687104.953293063 528389.1415310911 341.98210942698688
T1c-2017 8687105.371848118 528388.6839643496 344.24105499075728
T1-2018 8687105.67464368 528388.9139507855 342.08998901209657
T2-2016 8687321.540761648 527951.4307944031 397.53309631024121
T3-2017 8687273.73407735 527598.8512147433 424.84776258205693
T3-2018 8687273.969146406 527598.5585066495 423.73691828193813
